"相对路径","字节数","SHA256","原包声明来源","来源状态","权利人与许可证","允许软件分发及论文复用","授权或许可证据文件","署名要求","可检索引用文件","备注","同内容文件","审核者","审核日期"
"assets/anatomy/appendiceal_orifice.jpg","23450","a89c5fb12b721822f13f3db9bff0e803dcdcb85c570c5c9e4be96554d843b335","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js | v6.js","阑尾开口；原包部位标注待签审","","",""
"assets/anatomy/ascending_colon.jpg","26418","decadeb0c3e1050e4fe4de2b0dcbd9f7951564807d86288c3ac9e6f8e02ab641","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","升结肠；原包部位标注待签审","","",""
"assets/anatomy/cardia_fundus.jpg","28156","465a23c4cb2cad8d03e16a7ee29c6d1415aeaf61840535002cb9111e008dd456","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","贲门 + 胃底（反转位）；原包部位标注待签审","","",""
"assets/anatomy/descending_colon.jpg","24907","f8087853541eaa4fd5179c30a5fd24cc599d89e8e58d9bf75f48d586e6bfa6b9","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","降结肠；原包部位标注待签审","","",""
"assets/anatomy/distal_esophagus.jpg","23817","2a0b057b18e9055352500da8657b1e9506483d56f4b6456dbcf2838a4bd2ee62","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","下段食管；原包部位标注待签审","","",""
"assets/anatomy/duodenal_bulb.jpg","25232","93d2748cbbf2c78f2cf79280f3a0d16f17d9c7575e878c709280ccba07efecbe","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","十二指肠球部；原包部位标注待签审","","",""
"assets/anatomy/duodenum_d2.jpg","36725","b44987423d93387ff94a26d8f2edebc3b01d4b066097c2be89488ae2109ef26b","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","十二指肠降部；原包部位标注待签审","","",""
"assets/anatomy/gastric_angle.jpg","24413","310a1fdb8480dc913c49357b0c7cb7b5a8af62eb82e5e672e8894f0c6a8b2a73","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","胃角；原包部位标注待签审","","",""
"assets/anatomy/gastric_antrum.jpg","25037","11c828ba0166c86bcd81f85e66fee32763753303ebb476cccec51df8f562c9d3","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","胃窦；原包部位标注待签审","","",""
"assets/anatomy/gastric_body_forward.jpg","28317","1595baaa2387edd60a6d40bae15bd321283019d82b63d9fdc8ee2ede4dae8f05","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","胃体前视（含小弯）；原包部位标注待签审","","",""
"assets/anatomy/gastric_body_retro.jpg","24948","e3016c3dca434fe62f98205890ee94cba2b29a441a19e502c4998d98ba5c46b1","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","胃体反转（含大弯）；原包部位标注待签审","","",""
"assets/anatomy/hepatic_flexure.jpg","27961","ac211a82b434800fc06a6487de1e3ffcc5f57b34015bfcd966c9da7b7ecaeb5d","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","肝曲；原包部位标注待签审","","",""
"assets/anatomy/major_papilla.jpg","30417","2aa1cf328714180cdcd1bca46dc0b4fe773076e71bf63916643232e1cb83b3d3","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","十二指肠大乳头；原包部位标注待签审","","",""
"assets/anatomy/rectosigmoid.jpg","25467","b22e909bf51a92217c36c434d757f2038e13cb56623e12f63b1154619004d631","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","直乙交界附近；原包部位标注待签审","","",""
"assets/anatomy/rectum.jpg","26195","f4ea73a79289e01d1dd129fd9eaa486c35c1c110bbdccf85990a6eb5526d20e7","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","直肠；原包部位标注待签审","","",""
"assets/anatomy/sigmoid_colon.jpg","24154","0044299652cc409da72cb7b21a611f24119fa0d6e50484918a9cd4ead7c09c71","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js | v6.js","乙状结肠；原包部位标注待签审","","",""
"assets/anatomy/terminal_ileum.jpg","28690","7297a7fd470c2ceefe6751ce6fe488099a5d8e3e156c266cd8f8b1521e3ff638","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","回肠末端；原包部位标注待签审","","",""
"assets/anatomy/transverse_colon.jpg","28310","96380192027447c34580c4bb6f19a8267b49b373bf29785bd8a6e1b9ea46fb0a","https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2026.1857599/full","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","横结肠；原包部位标注待签审","","",""
"assets/anatomy/upper_esophagus.jpg","18896","a15da7a849eb97ee230b494816627722e21fac9357e5c8baba61b7eb5a97350e","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js","上段食管；原包部位标注待签审","","",""
"assets/anatomy/zline.jpg","26108","945d86c4a94307016a9906aae24d52c2de073804658bbd33bfe3afc6ebf1608d","https://journals.sagepub.com/doi/10.1177/1756284820916693","原包声明线索，待核实","待核实","待确认","","待核实","v5.js | v6.js","Z线 / 食管胃结合部；原包部位标注待签审","","",""
"assets/app/icon-192.png","1257","94821d8047b41055951939d8b806b92aca81cf04b8bcffb61e930753dffc8b77","","待溯源","待核实","待确认","","待核实","index.html","","","",""
"assets/app/icon-512.png","3683","b1e8029d7cb998fa59140cc67605ed3b8870baaacf50631706c84af306d19c45","","待溯源","待核实","待确认","","待核实","","","","",""
"assets/cases/barrett_esophagus.jpg","23485","93a098c7d2980e03579aa9ec7018375a320d7e4f62d4a87eddece3f2547cc1d5","https://commons.wikimedia.org/wiki/File:Barretts_esophagus.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js","barrett · Wikimedia Commons · source page lists license/permission","","",""
"assets/cases/crohn_colitis.jpg","74241","9f92e5f5eeb3206c69422d3cc417f1b3f8033930925bfad41d6e55a7c8047d4d","https://commons.wikimedia.org/wiki/File:CD_colitis_2.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js | v20.js","crohn · Wikimedia Commons · source page lists license","","",""
"assets/cases/early_gastric_cancer.jpg","283059","c8548fdcb34ba5180448a0409b2d4b160ff4e80c32ca38b5b5c29cd92e895c0d","https://commons.wikimedia.org/wiki/File:Early_stomach_cancer_2a.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js | v20.js","egc · Med Chaos · CC BY-SA 3.0","assets/procedure/lesions/esd_early_gastric_cancer.jpg","",""
"assets/cases/ercp_stone.jpg","94487","239eb20987eca50a7fd358597e53eaf5d2f8af1808917ae318886e3b7fe11a8b","https://commons.wikimedia.org/wiki/File:ERCP_stone.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js | v6.js","ercpStone · Samir · CC BY-SA 3.0/GFDL · Wikimedia Commons","assets/procedure/lesions/ercp_stone.jpg","",""
"assets/cases/esophageal_candidiasis.jpg","32410","279443df5a22ec190d4674940d8fa066b966b057bcff7f7fe9545992200563ce","https://commons.wikimedia.org/wiki/File:Esophageal_candidiasis.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js","candida · Wikimedia Commons · source page lists license","","",""
"assets/cases/esophageal_varices.jpg","15873","7463d9b82f8a0ec783c612d7c79554a2f44662494892f2dc168425f57c97a999","https://commons.wikimedia.org/wiki/File:Esophageal_varices_-_wale.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js","varix · Samir · Wikimedia Commons source page","","",""
"assets/cases/gastric_ulcer_antrum.jpg","107292","78e644e81dbb5df59063dccbeecc2830e15a1c7947e6b2610c5aeee2d795bef4","https://commons.wikimedia.org/wiki/File:Gastric_Ulcer_Antrum.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js","gastricAntrum · Med_Chaos · Public domain · Wikimedia Commons","","",""
"assets/cases/gave_before_after.png","686194","938e49b1b546bb64f634ad9f69af9c1f03e3e9e5e73ba86824bf574d95ce82d0","https://commons.wikimedia.org/wiki/File:Gastric_antral_vascular_ectasia_(before_and_after).png","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js","gave · Wikimedia Commons · CC BY-SA source page","assets/procedure/lesions/apc_gave.png","",""
"assets/cases/gist.jpg","80869","2f709c12daaab682e347a92b8f0e8225c3d37867a43d9962bd88715bd955ed8e","https://commons.wikimedia.org/wiki/File:GIST_2.jpg","原包声明线索，待核实","待核实","待确认","","待核实","local_images.js","gist · Wikimedia Commons · source page lists license","","",""
