"模块","项目ID","名称","题目或步骤数","题库版本","培训阶段","学习目标","关键安全错误标准","指南条款与适用人群","合理替代答案","审核状态","审核者","审核日期","问题与修订记录","复核者"
"病例推理","UGIB-PU","消化性溃疡出血：低血压 + 黑便","4","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","UGIB-VARIX","肝硬化静脉曲张破裂出血","4","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","MW-TEAR","反复呕吐后呕血：Mallory-Weiss撕裂","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","DIEULAFOY","间歇性大量出血但溃疡很小：Dieulafoy病变","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","LGIB-DIV","老年人无痛性鲜血便：憩室出血","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","GAVE","慢性缺铁性贫血 + “西瓜胃”","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","GERD","反流烧心：何时需要进一步检查？","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","BARRETT","长段Barrett食管：监测还是消融？","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","ESCC-EARLY","食管浅表鳞癌：微红凹陷病灶","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","ACHALASIA","进行性吞咽困难：固体和液体都难咽","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
"病例推理","EOE","年轻人反复食物嵌顿：嗜酸性食管炎","3","2026-09-06.1","导师按先修能力指定","识别风险与结构化推理/见项目内容","待专科制定","待逐项核查","待补充","待专科审核","","","",""
